Sentence,Top-1 Similar,Top-2 Similar,Top-3 Similar,Top-4 Similar,Top-5 Similar,Top-1 Similarity,Top-2 Similarity,Top-3 Similarity,Top-4 Similarity,Top-5 Similarity,name,video,start,end,speaker,orth,translation,Top-1 Orth,Top-2 Orth,Top-3 Orth,Top-4 Orth,Top-5 Orth,Word_Overlap_Top_1,Word_Overlap_Top_2,Word_Overlap_Top_3,Word_Overlap_Top_4,Word_Overlap_Top_5
sonntag und montag ändert sich an diesem ungemütlichen und recht kühlen wetter noch wenig,samstag und sonntag ändert sich an diesem wetter noch wenig,auch in den folgenden tagen ändert sich an diesem wechselhaften wetter wenig,an den temperaturen ändert sich wenig,und das wetter im südöstlichen mittelmeer das beruhigt sich nur langsam,donnerstag und freitag ändert sich wenig an diesem wetter,0.9450218,0.86600876,0.8648881,0.85779995,0.8572342,27August_2010_Friday_tagesschau-5164,27August_2010_Friday_tagesschau-5164/1/*.png,-1.0,-1.0,Signer03,SONNTAG MONTAG BLEIBEN SO MEHR KUEHL AUCH WECHSELHAFT,sonntag und montag ändert sich an diesem ungemütlichen und recht kühlen wetter noch wenig,SAMSTAG SONNTAG GLEICH IX,EIN-PAAR-TAGE BLEIBEN SO WECHSELHAFT,TEMPERATUR WIE-IMMER,SUEDOST REGION VERSCHWINDEN LANGSAM IM-VERLAUF,DONNERSTAG FREITAG WETTER BLEIBEN,1,3,0,0,1
heute nacht sieben bis vierzehn grad am tag zweiundzwanzig grad im süden und vierzehn grad in oberfranken,heute nacht neunzehn bis fünfzehn grad im südosten bis zwölf grad,am tag vier grad im sauerland und zwölf grad im breisgau,am tag zwölf grad an der ostsee und bis zwanzig grad in niederbayern,vier grad heute nacht im allgäu sowie an der oder dreizehn grad an der nordsee,heute nacht werte zwischen vierzehn grad an der see und vier grad an den alpen,0.9374189,0.9291041,0.925775,0.9189111,0.91733384,14September_2010_Tuesday_tagesschau-5220,14September_2010_Tuesday_tagesschau-5220/1/*.png,-1.0,-1.0,Signer05,HEUTE NACHT SIEBEN MAXIMAL VIERZEHN TAG SUED ZWEI ZWANZIG GRAD REGION ZWEI ZWANZIG GRAD,heute nacht sieben bis vierzehn grad am tag zweiundzwanzig grad im süden und vierzehn grad in oberfranken,HEUTE NACHT ZWISCHEN NEUNZEHN ZWISCHEN FUENFZEHN SUEDOST MAXIMAL ZWOELF,TAG SAUER LAND VIER REGION ZWOELF GRAD,TAG NORDOST ZWOELF SUED BAYERN IX MAXIMAL ZWANZIG GRAD,HEUTE NACHT ALLGAEU IX NORD VIER GRAD FLUSS DANN NORD DREIZEHN,HEUTE NACHT VIERZEHN IX UNTEN ALPEN VIER DANN,3,3,5,3,3
am samstag ist es in der südhälfte freundlich in der nordhälfte einzelne schauer,am mittwoch in der nordhälfte regenschauer richtung süden ist es freundlicher,morgen überwiegen in der nordosthälfte die wolken und es fallen einzelne schauer,am samstag überall mehr wolken als sonne in der südosthälfte zum teil kräftiger regen richtung nordwesten nur einzelne schauer,am dienstag ist es in der westhälfte meist freundlich ansonsten stellenweise schauer oder gewitter,am donnerstag ist es in der südosthälfte weiterhin wechselhaft nach nordwesten hin ist es freundlich,0.90932155,0.90670854,0.9027438,0.89561814,0.89123493,14September_2010_Tuesday_tagesschau-5223,14September_2010_Tuesday_tagesschau-5223/1/*.png,-1.0,-1.0,Signer05,SAMSTAG SUED FREUNDLICH NORD EINIGE SCHAUER,am samstag ist es in der südhälfte freundlich in der nordhälfte einzelne schauer,MITTWOCH NORD REGEN SUED MEHR FREUNDLICH,MORGEN IX NORDOST WOLKE UEBERWIEGEND SCHAUER,SAMSTAG HAUPTSAECHLICH MEHR WOLKE SONNE WENIG IX SUEDOST REGEN KOENNEN SUEDWEST BISSCHEN SCHAUER,DIENSTAG WEST FREUNDLICH IX SCHAUER GEWITTER,DONNERSTAG SUEDOST WEITER WECHSELHAFT NORDWEST MEHR FREUNDLICH SONNE,3,1,2,2,1
in den kommenden tagen bestimmt das tief über osteuropa unser wetter die kühle luft bleibt uns zunächst erhalten,und die kälteste ecke wird der gesamte südosten bleiben,deutschland bleibt unter tiefdruckeinfluss und in den nächsten tagen erwartet uns meist trübes wetter mit ein wenig regen oder schnee,über deutschland liegt morgen ein hochdruckgebiet das uns verbreitet sonniges und trockenes wetter beschert,die kalte luft bleibt uns erhalten wobei die temperaturen bis freitag noch weiter zurückgehen,der hält sich morgen in manchen regionen zäh auch dichtere wolken sind zunächst noch dabei aber es bleibt weitgehend trocken,0.88348,0.87973034,0.86985904,0.8669443,0.8639118,16May_2010_Sunday_tagesschau-5226,16May_2010_Sunday_tagesschau-5226/1/*.png,-1.0,-1.0,Signer08,IN-KOMMEND REGION TIEF DRUCK ENORM LUFT BLEIBEN,in den kommenden tagen bestimmt das tief über osteuropa unser wetter die kühle luft bleibt uns zunächst erhalten,BESONDERS KALT SUED SUEDOST,DEUTSCH LAND TIEF DRUCK KOMMEN IM-VERLAUF TAG BEWOELKT BISSCHEN REGEN SCHNEE SCHNEIEN,DEUTSCH LAND MORGEN HOCH DRUCK KOMMEN SONNE TROCKEN,KALT LUFT BLEIBEN BIS FREITAG MINUS,MANCHMAL MORGEN LANG DAUER NEBEL WOLKE ABER TROCKEN,0,2,1,2,0
am tag von schleswig holstein bis nach vorpommern und zunächst auch in brandenburg gebietsweise länger andauernder regen,am tag vor allem im norden regen,besonders im südlichen bergland einzelne wärmegewitter,in den folgenden tagen sorgt tiefer luftdruck für wechselhaftes wetter und sinkende temperaturen,auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter,am freitag schneit es im westen und süden ab und an in tiefen lagen im westen auch regen,0.8944544,0.8681132,0.8664212,0.86537606,0.8644934,08September_2010_Wednesday_tagesschau-5240,08September_2010_Wednesday_tagesschau-5240/1/*.png,-1.0,-1.0,Signer05,S+H VOR POMMERN UND BRAND BURG MORGEN DURCHGEHEND REGEN,am tag von schleswig holstein bis nach vorpommern und zunächst auch in brandenburg gebietsweise länger andauernder regen,NORD REGEN,REGION BESONDERS SUED BERG WARM GEWITTER,IN-KOMMEND TIEF AUFZIEHEN WETTER WECHSELHAFT TEMPERATUR REDUZIEREN,DIENSTAG MITTWOCH SONNE WOLKE WECHSELHAFT SCHAUER TYPISCH REGION REGEN GEWITTER KOENNEN,FREITAG SUEDWEST SCHNEE REGEN TIEF WEST AUCH HABEN2 REGEN,1,0,0,1,1
am samstag regnet es noch etwas in küstennähe sonst meist freundlich und trocken,ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig,im südosten ist es heute nacht trocken sonst regnet es zeitweise in der nordhälfte teilweise kräftig,am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt,im nordosten bleibt es meist trocken,heute nacht ist es meist nur locker bewölkt oder klar im nordwesten gibt es auch mal ein paar dichtere wolken,0.9117658,0.9096666,0.90667546,0.90436345,0.90428644,08September_2010_Wednesday_tagesschau-5246,08September_2010_Wednesday_tagesschau-5246/1/*.png,-1.0,-1.0,Signer05,SAMSTAG IX NOCH BISSCHEN REGEN SONST REGION FREUNDLICH TROCKEN,am samstag regnet es noch etwas in küstennähe sonst meist freundlich und trocken,SONNTAG MEHR MILD VIEL WOLKE REGEN NORDWEST WIND,NORDOST HEUTE NACHT TROCKEN IN-KOMMEND REGEN NORDWEST REGEN,MONTAG FAST UEBERALL SONNE MEER BERG IX MEHR WOLKE ABER NUR BISSCHEN ORT REGEN,NORDOST BLEIBEN TROCKEN,HEUTE NACHT MEHR LOCKER WOLKE ODER KLAR STERN SEHEN NORDWEST WOLKE,1,2,3,1,0
und selbst auch im küstenbereich geht es auch nahe an die dreißig grad heran,und bis zum abend kann die schneefallgrenze auch bis in die niederungen sinken,morgen breiten sich diese regenwolken dann weiter über die mitte richtung westen aber vor allen dingen auch nach baden württemberg und bayern aus,der hält sich morgen in manchen regionen zäh auch dichtere wolken sind zunächst noch dabei aber es bleibt weitgehend trocken,am samstag viel sonnenschein vor allem an alpen und küsten ist es auch mal wolkig,morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf,0.8645908,0.85488516,0.84953356,0.848137,0.84402394,20July_2010_Tuesday_heute-5254,20July_2010_Tuesday_heute-5254/1/*.png,-1.0,-1.0,Signer03,KUESTE IX DREISSIG GRAD,und selbst auch im küstenbereich geht es auch nahe an die dreißig grad heran,BIS ABEND IN-KOMMEND DANN KOMMEN NIEDERUNG,MORGEN REGEN KOMMEN WEST KOMMEN SPEZIELL BADEN WUERTTEMBERG BAYERN REGION,MANCHMAL MORGEN LANG DAUER NEBEL WOLKE ABER TROCKEN,SAMSTAG VIEL SONNE BESONDERS ALPEN KUESTE WOLKE KOENNEN,MORGEN REGION SONNE IX WOLKE BEWOELKT,0,0,0,1,1
morgen wieder schwacher im norden mäßiger wind aus süd bis südwest an der nordsee starke böen,morgen schwacher bis mäßiger an der see frischer wind aus südwest bis west,der wind weht meist mäßig im osten und an der see frischer wind mit starken böen in den hochlagen der osthälfte sturmböen,schwacher im norden auch mäßiger an der küste frischer und zeitweise stark böiger westwind,schwacher bis mäßiger auf den bergen in böen auch starker wind in der nordhälfte aus ost bis nordost sonst aus unterschiedlichen richtungen,morgen schwacher bis mäßiger ostwind,0.9397717,0.91197693,0.91020966,0.9049005,0.90288615,06September_2009_Sunday_tagesschau-5308,06September_2009_Sunday_tagesschau-5308/1/*.png,-1.0,-1.0,Signer09,MORGEN WIND WEHEN SCHWACH NORD UEBERWIEGEND WIND,morgen wieder schwacher im norden mäßiger wind aus süd bis südwest an der nordsee starke böen,MORGEN LEICHT MAESSIG WIND NORDWEST FRISCH WEHEN,WIND ZEIGEN-BILDSCHIRM WIND WEHEN WIND KOENNEN OST REGION HOCH STURM KOENNEN,HEUTE REGION SCHWACH MAESSIG WIND ZEIGEN-BILDSCHIRM,SCHWACH WEHEN BERG WEHEN NORD WEHEN IX WEHEN,MORGEN SCHWACH MAESSIG WEHEN,3,2,2,3,3
heute nacht werte zwischen vierzehn grad an der see und vier grad an den alpen,heute nacht elf grad im norden und ein grad an den alpen,am tag zehn grad in der mitte in höheren lagen sechzehn grad im süden,heute nacht liegen die werte zwischen vierzehn und sieben grad,heute nacht neunzehn bis fünfzehn grad im südosten bis zwölf grad,an der saar heute nacht milde sechzehn an der elbe teilweise nur acht grad,0.9635582,0.9397887,0.92925787,0.92884725,0.9288163,06September_2009_Sunday_tagesschau-5309,06September_2009_Sunday_tagesschau-5309/1/*.png,-1.0,-1.0,Signer09,HEUTE NACHT VIERZEHN IX UNTEN ALPEN VIER DANN,heute nacht werte zwischen vierzehn grad an der see und vier grad an den alpen,HEUTE NACHT NORD REGION ELF GRAD ALPEN EINS GRAD,NACHMITTAG MITTE REGION ZEHN GRAD SUED SECHSZEHN GRAD,HEUTE NACHT VIERZEHN ZWISCHEN SIEBEN,HEUTE NACHT ZWISCHEN NEUNZEHN ZWISCHEN FUENFZEHN SUEDOST MAXIMAL ZWOELF,FLUSS MILD SECHSZEHN GRAD FLUSS NUR ACHT GRAD,3,0,3,2,0
ja und so bleibt es dann auch erstmal am mittwoch,in den nächsten tagen wird das dann nicht mehr der fall sein dann wird es insgesamt ein bisschen kühler vor allen dingen zum wochenende hin,ihnen noch einen schönen abend,ähnliches wetter dann auch am donnerstag,und das wird auch am wochenende nicht passieren,am rhein werden es dann wenigstens mal so fünfzehn bis maximal siebzehn grad,0.813835,0.7954315,0.7930799,0.7872153,0.78569573,23August_2010_Monday_heute-5328,23August_2010_Monday_heute-5328/1/*.png,-1.0,-1.0,Signer08,AUCH SO WEITER MITTWOCH,ja und so bleibt es dann auch erstmal am mittwoch,IM-VERLAUF UMSTELLEN REDUZIEREN KUEHL BESONDERS SAMSTAG SONNTAG,IHR SCHOEN ABEND,AUCH DONNERSTAG,WOCHENENDE VIEL REGEN negalp-AUCH negalp-AUCH,FLUSS UNGEFAEHR FUENFZEHN IX SIEBZEHN GRAD,0,0,1,0,0
aber am donnerstag kommt die hitze in den süden zurück dafür haben wir kühles schauerwetter im norden,sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen,denn im süden haben wir die schwül warme gewitterluft dabei ist es aber noch im süden sonnig,und etwas kälter wird es dann im laufe des sonntags von osten,morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf,morgen gibt es zum teil dichte wolken oder nebel aber auch sonne vor allem im süden,0.88076603,0.8732028,0.8719796,0.8632984,0.8631299,23August_2010_Monday_heute-5329,23August_2010_Monday_heute-5329/1/*.png,-1.0,-1.0,Signer08,ABER DONNERSTAG HEISS ZURUECK SUED DARUM NORD REGEN KUEHL,aber am donnerstag kommt die hitze in den süden zurück dafür haben wir kühles schauerwetter im norden,WOCHENENDE SONNE SAMSTAG SCHOEN TEMPERATUR BIS SIEBZEHN GRAD REGION,GRUND HOCH TIEF WIEDER UND SUED REGION LUFT FEUCHT WARM SUED REGION SONNE,UND DANN SONNTAG IX REGION KOMMEN KALT,MORGEN REGION SONNE IX WOLKE BEWOELKT,MORGEN UEBERWIEGEND BEWOELKT NEBEL AUCH SUED IX SONNE,0,1,0,0,1
und nun die wettervorhersage für morgen freitag den neunten oktober,und nun die wettervorhersage für morgen freitag den achten oktober,und nun die wettervorhersage für morgen freitag den fünfzehnten oktober,und nun die wettervorhersage für morgen dienstag den dreizehnten oktober,und nun die wettervorhersage für morgen montag den zwölften april,und nun die wettervorhersage für morgen samstag den zweiten april,0.99251497,0.97391933,0.97034353,0.96095175,0.9598409,08October_2009_Thursday_tagesschau-5345,08October_2009_Thursday_tagesschau-5345/1/*.png,-1.0,-1.0,Signer01,MORGEN WETTER WIE-AUSSEHEN FREITAG NEUN OKTOBER,und nun die wettervorhersage für morgen freitag den neunten oktober,JETZT WETTER WIE-AUSSEHEN MORGEN FREITAG ACHTE OKTOBER,JETZT WETTER VORAUSSAGE FUER MORGEN FREITAG FUENFZEHN OKTOBER,JETZT MORGEN WETTER WIE-AUSSEHEN DREIZEHN OKTOBER,JETZT WETTER MORGEN MONTAG ZWOELF APRIL ZEIGEN-BILDSCHIRM,JETZT WETTER WIE-AUSSEHEN MORGEN SAMSTAG ZWEITE APRIL,5,4,4,2,3
an der ostsee heute nacht stürmische böen aus west,an der ostsee heute nacht örtlich stürmische böen,in der nacht an der see noch stürmische böen,in der nacht werden die wolken im norden und nordosten dichter erste tropfen können an der ostsee fallen,heute nacht gibt es hier und da schauer an der nordsee auch kurze gewitter,ein tief über der ostsee bringt dem norden deutschlands noch schnee,0.9405308,0.91478246,0.90612227,0.9020152,0.89004415,08October_2009_Thursday_tagesschau-5352,08October_2009_Thursday_tagesschau-5352/1/*.png,-1.0,-1.0,Signer01,NORD HEUTE NACHT WIND,an der ostsee heute nacht stürmische böen aus west,REGION HEUTE NACHT STURM,NACHT STURM,NACHT NORD NORDOST WOLKE OST REGION MOEGLICH IX REGEN,HEUTE NACHT WAHRSCHEINLICH SCHAUER IX AUCH GEWITTER,OST SEE TIEF DRUCK ZONE NORD NOCH SCHNEE SCHNEIEN,2,1,2,2,1
morgen schwacher bis mäßiger ostwind,schwacher im norden auch mäßiger an der küste frischer und zeitweise stark böiger westwind,morgen wieder schwacher im norden mäßiger wind aus süd bis südwest an der nordsee starke böen,morgen schwacher bis mäßiger an der see frischer wind aus südwest bis west,auch morgen in der mitte und im süden gebietsweise stärkere bewölkung,morgen in der südosthälfte weitere zum teil kräftige niederschläge bis in mittlere lagen schnee,0.9157548,0.90288615,0.8960159,0.8719248,0.86186737,08October_2009_Thursday_tagesschau-5353,08October_2009_Thursday_tagesschau-5353/1/*.png,-1.0,-1.0,Signer01,MORGEN SCHWACH MAESSIG WEHEN,morgen schwacher bis mäßiger ostwind,HEUTE REGION SCHWACH MAESSIG WIND ZEIGEN-BILDSCHIRM,MORGEN WIND WEHEN SCHWACH NORD UEBERWIEGEND WIND,MORGEN LEICHT MAESSIG WIND NORDWEST FRISCH WEHEN,MORGEN IX MEISTENS WOLKE,MORGEN SUEDOST TEIL REGEN MOEGLICH SCHNEE,2,3,3,1,1
am samstag überquert uns ein regengebiet von west nach ost,nach einer kurzen wetterberuhigung erreicht uns morgen von westen ein neuer tiefausläufer,teilweise kräftiger regen zieht heute nacht über uns ostwärts,am sonntag ziehen von nordwesten wieder schauer und gewitter heran,zwischen dem tief bei schottland und dem hoch über südeuropa strömt morgen milde luft zu uns nach deutschland,dreh und angelpunkt ist nämlich dieses tiefdruckgebiet über dem nordatlantik es schickt uns den regen letztendlich erst einmal nach norddeutschland aber dann heute nacht mehr und mehr in die mitte,0.87304753,0.87272906,0.86933726,0.8683548,0.86761135,08October_2009_Thursday_tagesschau-5357,08October_2009_Thursday_tagesschau-5357/1/*.png,-1.0,-1.0,Signer01,SAMSTAG DANN REGEN KOMMEN,am samstag überquert uns ein regengebiet von west nach ost,WETTER BISSCHEN RUHIG DANN MORGEN IX REGION TIEF KOMMEN,TEILWEISE REGEN KOMMEN IX,SONNTAG REGION REGEN GEWITTER KOMMEN,SCHOTTLAND REGION UND SUED EUROPA SUED REGION DAZWISCHEN MORGEN LUFT MILD KOMMEN,NORD REGION IX KOMMEN MEISTENS NORD DEUTSCH LAND HEUTE ABEND MEHR KOMMEN,2,2,2,1,1
im osten aber erst noch freundliche abschnitte,im süden und osten freundliche abschnitte,am dienstag in der südhälfte weitere schauer vereinzelt auch gewitter in der nordhälfte freundliche abschnitte,am dienstag vor allem richtung osten längere freundliche abschnitte daneben aber auch schauer und gewitter,am abend zum teil bis in tiefere lagen,in der südosthälfte deutschlands bleibt es unter leichtem hochdruckeinfluss noch am längsten freundlich aber auch dort kann es später kräftig krachen,0.90381855,0.84799004,0.84148246,0.80254215,0.7631363,08October_2009_Thursday_tagesschau-5358,08October_2009_Thursday_tagesschau-5358/1/*.png,-1.0,-1.0,Signer01,OST ERSTMAL FREUNDLICH,im osten aber erst noch freundliche abschnitte,SUEDOST SONNE DABEI,DIENSTAG SUED SCHAUER TEIL AUCH GEWITTER NORD FREUNDLICH,DIENSTAG BESONDERS OST MEHR FREUNDLICH LANG ABER AUCH DABEI SCHAUER GEWITTER,ABEND AUCH EBEN MOEGLICH REGEN,SUEDOST DEUTSCH LAND BLEIBEN LANG IM-VERLAUF GUT IM-VERLAUF MOEGLICH GEWITTER,0,1,2,0,0
auch im westen gibt es später wolkenlücken,in teilen bayerns und sachsens gibt es neben schauern und gewittern auch wolkenlücken,mehr wolken als sonne gibt es im norden und osten tropfen fallen nur vereinzelt,richtung nordosten gibt es mehr wolken hier und da etwas regen,in der mitte lockert es auch mal auf,am freitag insgesamt viele wolken die regen bringen,0.9047201,0.870268,0.86337197,0.86272794,0.8570526,08October_2009_Thursday_tagesschau-5359,08October_2009_Thursday_tagesschau-5359/1/*.png,-1.0,-1.0,Signer01,WEST KOMMEN LOCH SONNE DA,auch im westen gibt es später wolkenlücken,BAYERN SACHSEN IX SCHAUER GEWITTER AUCH EIN-PAAR IX KOENNEN SEHEN HIMMEL,NORDOST WOLKE VIEL IX WENIG,NORDOST MEHR WOLKE REGEN,MITTE MAL KLAR HIMMEL,FREITAG VIEL WOLKE BEWOELKT,0,0,0,0,0
in den mittelgebirgen heute nacht örtlich vier im nordwesten unter wolken bis zwölf grad,am niederrhein heute nacht vierzehn im osten örtlich nur sechs grad,an der ostseeküste heute nacht minus zwei am alpenrand bis minus fünfzehn grad,heute nacht elf grad in niederbayern und bis ein grad in den nördlichen mittelgebirgen,an der saar heute nacht milde sechzehn an der elbe teilweise nur acht grad,morgen in der osthälfte zehn bis dreizehn grad im westen bis zu siebzehn grad,0.9387242,0.92627156,0.9203313,0.91931736,0.9139606,01October_2012_Monday_tagesschau-5370,01October_2012_Monday_tagesschau-5370/1/*.png,-1.0,-1.0,Signer04,MITTE BERG VIER NORDWEST ZWOELF GRAD WOLKE,in den mittelgebirgen heute nacht örtlich vier im nordwesten unter wolken bis zwölf grad,HEUTE NACHT VIERZEHN REGION OST NUR SECHS GRAD,NORD HEUTE NACHT MINUS ZWEI BERG BIS MINUS FUENFZEHN GRAD,HEUTE NACHT ELF GRAD SUED BAYERN EINS GRAD NORD,FLUSS MILD SECHSZEHN GRAD FLUSS NUR ACHT GRAD,MORGEN OST ZEHN BIS DREIZEHN WEST BIS SIEBZEHN GRAD,1,2,1,1,1
richtung osten ist es meist sonnig,später ist es meist trocken,am tag ist es meist stark bewölkt oder neblig trüb,im nordosten bleibt es meist trocken,in den niederungen ist es teilweise länger neblig wenige kilometer daneben sonne auf den bergen ist es durchweg sonnig,heute nacht gibt es im süden anfangs noch vereinzelte schauer oder gewitter sonst ist es meist klar oder nur locker bewölkt,0.90591055,0.9044564,0.888675,0.88720137,0.8856403,08July_2010_Thursday_tagesschau-5388,08July_2010_Thursday_tagesschau-5388/1/*.png,-1.0,-1.0,Signer05,OST MEISTENS SONNE,richtung osten ist es meist sonnig,SPAETER BISSCHEN MEHR TROCKEN REGION,TAG MEHR WOLKE ODER NEBEL,NORDOST BLEIBEN TROCKEN,DARUNTER NEBEL LANG IN-KOMMEND DANEBEN SONNE BERG OBEN DANN DURCHGEHEND SONNE,HEUTE ABEND SUED REGION NOCH REGEN GEWITTER REGION KLAR HIMMEL BISSCHEN WOLKE,0,0,0,1,0
auch am montag neben sonne zum teil schwere gewitter,auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter,am mittwoch vor allem ab dem nachmittag schauer und gewitter,in der osthälfte morgen mal sonne mal dichtere wolken später auch örtliche schauer oder gewitter,unter wolken heute nacht frostfreie zwei bis acht grad,heute nacht gibt es hier und da schauer an der nordsee auch kurze gewitter,0.89764243,0.895818,0.88869494,0.8882504,0.8862493,08July_2010_Thursday_tagesschau-5389,08July_2010_Thursday_tagesschau-5389/1/*.png,-1.0,-1.0,Signer05,MONTAG IN-KOMMEND AUCH SONNE ABER SCHWER GEWITTER DABEI,auch am montag neben sonne zum teil schwere gewitter,DIENSTAG MITTWOCH SONNE WOLKE WECHSELHAFT SCHAUER TYPISCH REGION REGEN GEWITTER KOENNEN,MITTWOCH MEISTENS NACHMITTAG SCHAUER GEWITTER,MORGEN NORD WOLKE SONNE WECHSELHAFT MOEGLICH SCHAUER GEWITTER,WOLKE DAS-IST-ES NACHT ZWEI BIS ACHT neg-HABEN FROST,HEUTE NACHT WAHRSCHEINLICH SCHAUER IX AUCH GEWITTER,2,1,2,0,2
sonst war es vielleicht nur mal sprühregen der aber gar nicht zu buche geschlagen ist,ganz im süden sind einzelne schauer möglich,sonst ist es recht freundlich,in der mitte lockert es auch mal auf,die halten sich morgen recht zäh,in den bergen anfangs ist auch schnee dabei,0.83674383,0.82538974,0.82083607,0.82017624,0.8177308,21November_2011_Monday_heute-5428,21November_2011_Monday_heute-5428/1/*.png,-1.0,-1.0,Signer07,SONST NUR BISSCHEN REGEN ABER REGION RECHNEN neg-HABEN,sonst war es vielleicht nur mal sprühregen der aber gar nicht zu buche geschlagen ist,SUED BISSCHEN SCHAUER MOEGLICH,SONST REGION FREUNDLICH,MITTE MAL KLAR HIMMEL,MORGEN LANG BLEIBEN,BERG ANFANG IX SCHNEE AUCH,1,2,0,0,0
ihnen noch einen schönen abend,ich wünsche ihnen noch einen schönen abend,jetzt wünsche ich ihnen noch einen schönen abend,jetzt wünsche ich ihnen noch einen schönen abend,jetzt wünsche ich ihnen noch einen schönen abend,und damit schönen guten abend,0.918655,0.9058726,0.9058726,0.9058726,0.8827015,21November_2011_Monday_heute-5437,21November_2011_Monday_heute-5437/1/*.png,-1.0,-1.0,Signer07,IHR SCHOEN ABEND,ihnen noch einen schönen abend,SCHOEN ABEND NOCH IHR,JETZT SCHOEN ABEND TSCHUESS,JETZT SCHOEN ABEND TSCHUESS,JETZT SCHOEN ABEND TSCHUESS,SCHOEN GUT ABEND poss-EUCH,3,2,2,2,2
auch morgen in der mitte und im süden gebietsweise stärkere bewölkung,morgen schwacher bis mäßiger ostwind,in einem streifen vom emsland bis zur lausitz sind dichte wolken unterwegs sonst ist es teils klar teils locker bewölkt,am freitag ist es in der nähe der küsten und ganz im süden teilweise stark bewölkt,heute nacht gibt es im süden anfangs noch vereinzelte schauer oder gewitter sonst ist es meist klar oder nur locker bewölkt,morgen in der südosthälfte weitere zum teil kräftige niederschläge bis in mittlere lagen schnee,0.8719248,0.8634537,0.8633803,0.86131525,0.8535991,05March_2011_Saturday_tagesschau-5442,05March_2011_Saturday_tagesschau-5442/1/*.png,-1.0,-1.0,Signer05,MORGEN IX MEISTENS WOLKE,auch morgen in der mitte und im süden gebietsweise stärkere bewölkung,MORGEN SCHWACH MAESSIG WEHEN,FLUSS BIS L REGION WOLKE SONST KLAR LOCKER REGION,FREITAG NAH KUESTE SUED WAHRSCHEINLICH STARK WOLKE,HEUTE ABEND SUED REGION NOCH REGEN GEWITTER REGION KLAR HIMMEL BISSCHEN WOLKE,MORGEN SUEDOST TEIL REGEN MOEGLICH SCHNEE,1,1,1,1,1
in den östlichen berglagen sowie am alpenrand ist ein wenig schnee möglich,im osten und südosten sind gewitter möglich,im nordwesten sind kurze gewitter möglich,in den niederungen ist es teilweise länger neblig wenige kilometer daneben sonne auf den bergen ist es durchweg sonnig,in der nacht ist im nordosten in ostbayern und im bergland teilweise schnee oder gefrierender regen möglich,in der nordwesthälfte teils freundlich teils wolkig und meist trocken,0.889902,0.8857762,0.8849693,0.8752291,0.8739892,05March_2011_Saturday_tagesschau-5443,05March_2011_Saturday_tagesschau-5443/1/*.png,-1.0,-1.0,Signer05,REGION BERG IX BISSCHEN SCHNEE SCHNEIEN MOEGLICH,in den östlichen berglagen sowie am alpenrand ist ein wenig schnee möglich,OST REGION SUEDOST MOEGLICH GEWITTER,NORDWEST KOENNEN GEWITTER,DARUNTER NEBEL LANG IN-KOMMEND DANEBEN SONNE BERG OBEN DANN DURCHGEHEND SONNE,NORDOST IX BAYERN OST SCHNEE SCHNEIEN UND REGEN MIT FROST BODEN,NORD MEHR GUT MANCHMAL WOLKE TROCKEN,2,0,1,3,0
morgen reichen die temperaturen von einem grad im vogtland bis neun grad am oberrhein,morgen reichen die temperaturen von neun grad an der ostsee bis siebzehn grad im breisgau,morgen reichen die temperaturen von zweiundzwanzig grad an der ostsee bis zweiunddreißig grad am oberrhein,morgen temperaturen von acht grad im nordosten bis siebzehn im südwesten,morgen temperaturen von achtzehn grad an der küste bis sechsundzwanzig im breisgau,morgen temperaturen von fünfzehn grad an der nordsee bis vierundzwanzig am rhein,0.9623136,0.9607358,0.9117259,0.9076843,0.900734,05March_2011_Saturday_tagesschau-5447,05March_2011_Saturday_tagesschau-5447/1/*.png,-1.0,-1.0,Signer05,MORGEN TEMPERATUR VOGEL LAND MAXIMAL NEUN GRAD,morgen reichen die temperaturen von einem grad im vogtland bis neun grad am oberrhein,MORGEN NEUN GRAD IX MAXIMAL SIEBZEHN GRAD REGION,MORGEN TEMPERATUR ZWEI ZWANZIG GRAD NORD SEE IX ZWEI DREISSIG GRAD FLUSS,MORGEN NORD ACHT SUEDWEST SIEBZEHN MAXIMAL,MORGEN ACHTZEHN NORD DANN SECHS ZWANZIG REGION,MORGEN NORD FUENFZEHN GRAD REGION FLUSS VIER ZWANZIG GRAD MOEGLICH,4,3,2,1,2
