Sentence	Top-1 Similar	Top-2 Similar	Top-3 Similar	Top-4 Similar	Top-5 Similar	Top-1 Similarity	Top-2 Similarity	Top-3 Similarity	Top-4 Similarity	Top-5 Similarity
heute nacht sieben bis vierzehn grad am tag zweiundzwanzig grad im süden und vierzehn grad in oberfranken	heute nacht neunzehn bis fünfzehn grad im südosten bis zwölf grad	am tag vier grad im sauerland und zwölf grad im breisgau	am tag zwölf grad an der ostsee und bis zwanzig grad in niederbayern	vier grad heute nacht im allgäu sowie an der oder dreizehn grad an der nordsee	heute nacht werte zwischen vierzehn grad an der see und vier grad an den alpen	0.9374189	0.9291041	0.925775	0.9189111	0.91733384
am samstag ist es in der südhälfte freundlich in der nordhälfte einzelne schauer	am mittwoch in der nordhälfte regenschauer richtung süden ist es freundlicher	morgen überwiegen in der nordosthälfte die wolken und es fallen einzelne schauer	am samstag überall mehr wolken als sonne in der südosthälfte zum teil kräftiger regen richtung nordwesten nur einzelne schauer	am dienstag ist es in der westhälfte meist freundlich ansonsten stellenweise schauer oder gewitter	am donnerstag ist es in der südosthälfte weiterhin wechselhaft nach nordwesten hin ist es freundlich	0.90932155	0.90670854	0.9027438	0.89561814	0.89123493
in den kommenden tagen bestimmt das tief über osteuropa unser wetter die kühle luft bleibt uns zunächst erhalten	und die kälteste ecke wird der gesamte südosten bleiben	deutschland bleibt unter tiefdruckeinfluss und in den nächsten tagen erwartet uns meist trübes wetter mit ein wenig regen oder schnee	über deutschland liegt morgen ein hochdruckgebiet das uns verbreitet sonniges und trockenes wetter beschert	die kalte luft bleibt uns erhalten wobei die temperaturen bis freitag noch weiter zurückgehen	der hält sich morgen in manchen regionen zäh auch dichtere wolken sind zunächst noch dabei aber es bleibt weitgehend trocken	0.88348	0.87973034	0.86985904	0.8669443	0.8639118
am tag von schleswig holstein bis nach vorpommern und zunächst auch in brandenburg gebietsweise länger andauernder regen	am tag vor allem im norden regen	besonders im südlichen bergland einzelne wärmegewitter	in den folgenden tagen sorgt tiefer luftdruck für wechselhaftes wetter und sinkende temperaturen	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	am freitag schneit es im westen und süden ab und an in tiefen lagen im westen auch regen	0.8944544	0.8681132	0.8664212	0.86537606	0.8644934
am samstag regnet es noch etwas in küstennähe sonst meist freundlich und trocken	ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig	im südosten ist es heute nacht trocken sonst regnet es zeitweise in der nordhälfte teilweise kräftig	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	im nordosten bleibt es meist trocken	heute nacht ist es meist nur locker bewölkt oder klar im nordwesten gibt es auch mal ein paar dichtere wolken	0.9117658	0.9096666	0.90667546	0.90436345	0.90428644
und selbst auch im küstenbereich geht es auch nahe an die dreißig grad heran	und bis zum abend kann die schneefallgrenze auch bis in die niederungen sinken	morgen breiten sich diese regenwolken dann weiter über die mitte richtung westen aber vor allen dingen auch nach baden württemberg und bayern aus	der hält sich morgen in manchen regionen zäh auch dichtere wolken sind zunächst noch dabei aber es bleibt weitgehend trocken	am samstag viel sonnenschein vor allem an alpen und küsten ist es auch mal wolkig	morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf	0.8645908	0.85488516	0.84953356	0.848137	0.84402394
morgen wieder schwacher im norden mäßiger wind aus süd bis südwest an der nordsee starke böen	morgen schwacher bis mäßiger an der see frischer wind aus südwest bis west	der wind weht meist mäßig im osten und an der see frischer wind mit starken böen in den hochlagen der osthälfte sturmböen	schwacher im norden auch mäßiger an der küste frischer und zeitweise stark böiger westwind	schwacher bis mäßiger auf den bergen in böen auch starker wind in der nordhälfte aus ost bis nordost sonst aus unterschiedlichen richtungen	morgen schwacher bis mäßiger ostwind	0.9397717	0.91197693	0.91020966	0.9049005	0.90288615
heute nacht werte zwischen vierzehn grad an der see und vier grad an den alpen	heute nacht elf grad im norden und ein grad an den alpen	am tag zehn grad in der mitte in höheren lagen sechzehn grad im süden	heute nacht liegen die werte zwischen vierzehn und sieben grad	heute nacht neunzehn bis fünfzehn grad im südosten bis zwölf grad	an der saar heute nacht milde sechzehn an der elbe teilweise nur acht grad	0.9635582	0.9397887	0.92925787	0.92884725	0.9288163
ja und so bleibt es dann auch erstmal am mittwoch	in den nächsten tagen wird das dann nicht mehr der fall sein dann wird es insgesamt ein bisschen kühler vor allen dingen zum wochenende hin	ihnen noch einen schönen abend	ähnliches wetter dann auch am donnerstag	und das wird auch am wochenende nicht passieren	am rhein werden es dann wenigstens mal so fünfzehn bis maximal siebzehn grad	0.813835	0.7954315	0.7930799	0.7872153	0.78569573
aber am donnerstag kommt die hitze in den süden zurück dafür haben wir kühles schauerwetter im norden	sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen	denn im süden haben wir die schwül warme gewitterluft dabei ist es aber noch im süden sonnig	und etwas kälter wird es dann im laufe des sonntags von osten	morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf	morgen gibt es zum teil dichte wolken oder nebel aber auch sonne vor allem im süden	0.88076603	0.8732028	0.8719796	0.8632984	0.8631299
und nun die wettervorhersage für morgen freitag den neunten oktober	und nun die wettervorhersage für morgen freitag den achten oktober	und nun die wettervorhersage für morgen freitag den fünfzehnten oktober	und nun die wettervorhersage für morgen dienstag den dreizehnten oktober	und nun die wettervorhersage für morgen montag den zwölften april	und nun die wettervorhersage für morgen samstag den zweiten april	0.99251497	0.97391933	0.97034353	0.96095175	0.9598409
an der ostsee heute nacht stürmische böen aus west	an der ostsee heute nacht örtlich stürmische böen	in der nacht an der see noch stürmische böen	in der nacht werden die wolken im norden und nordosten dichter erste tropfen können an der ostsee fallen	heute nacht gibt es hier und da schauer an der nordsee auch kurze gewitter	ein tief über der ostsee bringt dem norden deutschlands noch schnee	0.9405308	0.91478246	0.90612227	0.9020152	0.89004415
morgen schwacher bis mäßiger ostwind	schwacher im norden auch mäßiger an der küste frischer und zeitweise stark böiger westwind	morgen wieder schwacher im norden mäßiger wind aus süd bis südwest an der nordsee starke böen	morgen schwacher bis mäßiger an der see frischer wind aus südwest bis west	auch morgen in der mitte und im süden gebietsweise stärkere bewölkung	morgen in der südosthälfte weitere zum teil kräftige niederschläge bis in mittlere lagen schnee	0.9157548	0.90288615	0.8960159	0.8719248	0.86186737
am samstag überquert uns ein regengebiet von west nach ost	nach einer kurzen wetterberuhigung erreicht uns morgen von westen ein neuer tiefausläufer	teilweise kräftiger regen zieht heute nacht über uns ostwärts	am sonntag ziehen von nordwesten wieder schauer und gewitter heran	zwischen dem tief bei schottland und dem hoch über südeuropa strömt morgen milde luft zu uns nach deutschland	dreh und angelpunkt ist nämlich dieses tiefdruckgebiet über dem nordatlantik es schickt uns den regen letztendlich erst einmal nach norddeutschland aber dann heute nacht mehr und mehr in die mitte	0.87304753	0.87272906	0.86933726	0.8683548	0.86761135
im osten aber erst noch freundliche abschnitte	im süden und osten freundliche abschnitte	am dienstag in der südhälfte weitere schauer vereinzelt auch gewitter in der nordhälfte freundliche abschnitte	am dienstag vor allem richtung osten längere freundliche abschnitte daneben aber auch schauer und gewitter	am abend zum teil bis in tiefere lagen	in der südosthälfte deutschlands bleibt es unter leichtem hochdruckeinfluss noch am längsten freundlich aber auch dort kann es später kräftig krachen	0.90381855	0.84799004	0.84148246	0.80254215	0.7631363
auch im westen gibt es später wolkenlücken	in teilen bayerns und sachsens gibt es neben schauern und gewittern auch wolkenlücken	mehr wolken als sonne gibt es im norden und osten tropfen fallen nur vereinzelt	richtung nordosten gibt es mehr wolken hier und da etwas regen	in der mitte lockert es auch mal auf	am freitag insgesamt viele wolken die regen bringen	0.9047201	0.870268	0.86337197	0.86272794	0.8570526
in den mittelgebirgen heute nacht örtlich vier im nordwesten unter wolken bis zwölf grad	am niederrhein heute nacht vierzehn im osten örtlich nur sechs grad	an der ostseeküste heute nacht minus zwei am alpenrand bis minus fünfzehn grad	heute nacht elf grad in niederbayern und bis ein grad in den nördlichen mittelgebirgen	an der saar heute nacht milde sechzehn an der elbe teilweise nur acht grad	morgen in der osthälfte zehn bis dreizehn grad im westen bis zu siebzehn grad	0.9387242	0.92627156	0.9203313	0.91931736	0.9139606
richtung osten ist es meist sonnig	später ist es meist trocken	am tag ist es meist stark bewölkt oder neblig trüb	im nordosten bleibt es meist trocken	in den niederungen ist es teilweise länger neblig wenige kilometer daneben sonne auf den bergen ist es durchweg sonnig	heute nacht gibt es im süden anfangs noch vereinzelte schauer oder gewitter sonst ist es meist klar oder nur locker bewölkt	0.90591055	0.9044564	0.888675	0.88720137	0.8856403
auch am montag neben sonne zum teil schwere gewitter	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	am mittwoch vor allem ab dem nachmittag schauer und gewitter	in der osthälfte morgen mal sonne mal dichtere wolken später auch örtliche schauer oder gewitter	unter wolken heute nacht frostfreie zwei bis acht grad	heute nacht gibt es hier und da schauer an der nordsee auch kurze gewitter	0.89764243	0.895818	0.88869494	0.8882504	0.8862493
sonst war es vielleicht nur mal sprühregen der aber gar nicht zu buche geschlagen ist	ganz im süden sind einzelne schauer möglich	sonst ist es recht freundlich	in der mitte lockert es auch mal auf	die halten sich morgen recht zäh	in den bergen anfangs ist auch schnee dabei	0.83674383	0.82538974	0.82083607	0.82017624	0.8177308
ihnen noch einen schönen abend	ich wünsche ihnen noch einen schönen abend	jetzt wünsche ich ihnen noch einen schönen abend	jetzt wünsche ich ihnen noch einen schönen abend	jetzt wünsche ich ihnen noch einen schönen abend	und damit schönen guten abend	0.918655	0.9058726	0.9058726	0.9058726	0.8827015
auch morgen in der mitte und im süden gebietsweise stärkere bewölkung	morgen schwacher bis mäßiger ostwind	in einem streifen vom emsland bis zur lausitz sind dichte wolken unterwegs sonst ist es teils klar teils locker bewölkt	am freitag ist es in der nähe der küsten und ganz im süden teilweise stark bewölkt	heute nacht gibt es im süden anfangs noch vereinzelte schauer oder gewitter sonst ist es meist klar oder nur locker bewölkt	morgen in der südosthälfte weitere zum teil kräftige niederschläge bis in mittlere lagen schnee	0.8719248	0.8634537	0.8633803	0.86131525	0.8535991
in den östlichen berglagen sowie am alpenrand ist ein wenig schnee möglich	im osten und südosten sind gewitter möglich	im nordwesten sind kurze gewitter möglich	in den niederungen ist es teilweise länger neblig wenige kilometer daneben sonne auf den bergen ist es durchweg sonnig	in der nacht ist im nordosten in ostbayern und im bergland teilweise schnee oder gefrierender regen möglich	in der nordwesthälfte teils freundlich teils wolkig und meist trocken	0.889902	0.8857762	0.8849693	0.8752291	0.8739892
morgen reichen die temperaturen von einem grad im vogtland bis neun grad am oberrhein	morgen reichen die temperaturen von neun grad an der ostsee bis siebzehn grad im breisgau	morgen reichen die temperaturen von zweiundzwanzig grad an der ostsee bis zweiunddreißig grad am oberrhein	morgen temperaturen von acht grad im nordosten bis siebzehn im südwesten	morgen temperaturen von achtzehn grad an der küste bis sechsundzwanzig im breisgau	morgen temperaturen von fünfzehn grad an der nordsee bis vierundzwanzig am rhein	0.9623136	0.9607358	0.9117259	0.9076843	0.900734
in der südosthälfte deutschlands bleibt es unter leichtem hochdruckeinfluss noch am längsten freundlich aber auch dort kann es später kräftig krachen	der hält sich morgen in manchen regionen zäh auch dichtere wolken sind zunächst noch dabei aber es bleibt weitgehend trocken	und bis zum abend kann die schneefallgrenze auch bis in die niederungen sinken	in der südosthälfte deutschlands bleibt es morgen unter leichtem hochdruckeinfluss noch recht freundlich	aber es bleibt für die jahreszeit immer noch recht mild	das gilt auch für den abend aber im laufe der nacht werden schauer und gewitter in der südosthälfte immer seltener	0.8794786	0.87798506	0.87212276	0.8617151	0.86004907
in der nordwesthälfte morgen mal sonne mal wolken und immer wieder zum teil kräftige am nachmittag auch gewittrige schauer	am samstag überall mehr wolken als sonne in der südosthälfte zum teil kräftiger regen richtung nordwesten nur einzelne schauer	in der osthälfte morgen mal sonne mal dichtere wolken später auch örtliche schauer oder gewitter	sonst viel sonne ein paar lockere wolken im nordwesten fallen am nachmittag einzelne schauer	am tag ist es im westen freundlich sonst sonne und dichtere wolken im wechsel hier und da fallen einzelne schauer	am sonntag im norden noch wolkig und vor allem in küstennähe einzelne schauer	0.9422783	0.9293748	0.9287055	0.92574066	0.9220224
donnerstag und freitag ändert sich wenig an diesem wetter	am sonntag ändert sich noch wenig an diesem wetter	samstag und sonntag ändert sich an diesem wetter noch wenig	sonntag und montag ändert sich an diesem ungemütlichen und recht kühlen wetter noch wenig	es sorgt morgen dort für ruhiges freundliches wetter	im süden freundliches wetter	0.95244896	0.9087724	0.8572342	0.8563882	0.8457397
die schwüle hitze in dem noch etwas zu und die gewitter können lokal unwetterartig sein	vor allem im süden können die gewitter unwetterartig ausfallen	dabei kommt es zu heftigen schauern und gewittern die teilweise unwetterartig sein können	der wind lebt bereits in der nacht auf im norden sturmböen sonst einzelne stürmische böen auf den bergen können orkanböen auftreten	am sonntag wird es wieder unbeständiger mit einzelnen schauern und gewittern die örtlich heftig sein können	im norden sowie ganz im westen schneit es auch mal stärker und es kann glatt werden	0.8810579	0.8789895	0.8759056	0.87425935	0.87126786
und das mit tief ophelia das die kaltluft mit kräftigen schauern richtung mitteleuropa treibt	morgen breiten sich diese regenwolken dann weiter über die mitte richtung westen aber vor allen dingen auch nach baden württemberg und bayern aus	das hoch lenkt schwül heiße luft in den südosten das tief nur mäßig warme meeresluft in den nordwesten	atlantische tiefausläufer bringen uns die ganze woche über regenfälle und zum teil stürmische winde	und das wetter im südöstlichen mittelmeer das beruhigt sich nur langsam	deutschland liegt morgen unter hochdruckeinfluss der die wolken weitgehend vertreibt	0.87430304	0.87241083	0.86782014	0.86308926	0.85963786
in den alpen wird es dann sogar schneien	im norden wird es dagegen noch trocken sein	besonders im osten deutschlands kann es ein wenig regnen oder schneien	vor allem in richtung küste sowie im südwesten kann es in der nacht etwas schneien	und im laufe der nacht oder gegen morgen wahrscheinlich erst wird es dann im südwesten anfangen zu schneien	in der südhälfte muss dazu mit nachtfrost gerechnet werden	0.89507335	0.88899654	0.8765078	0.8754421	0.8700455
auch noch verhältnismäßig kühl aber dann sieht es schon nach ein paar sonnigeren und auch deutlich wärmeren tagen aus	am donnerstag noch unbeständig aber ab freitag wird es von westen langsam freundlicher	und zum wochenende wird es dann sogar wieder ein bisschen kälter	denn im süden haben wir die schwül warme gewitterluft dabei ist es aber noch im süden sonnig	auch am samstag regnet oder schneit es verbreitet später wird es im westen und norden freundlicher	am mittwoch in der nordhälfte regenschauer richtung süden ist es freundlicher	0.8529616	0.8449017	0.8400044	0.83607006	0.83351576
jetzt wünsche ich ihnen noch einen schönen abend	jetzt wünsche ich ihnen noch einen schönen abend	jetzt wünsche ich ihnen noch einen schönen abend	ich wünsche ihnen noch einen schönen abend	ich wünsche ihnen einen schönen abend und machen sie es gut	ich wünsche ihnen einen schönen abend und machen sie es gut	0.9999997	0.9999997	0.97170234	0.92101306	0.92101306
und nun die wettervorhersage für morgen donnerstag den neunzehnten november	und nun die wettervorhersage für morgen donnerstag den sechsundzwanzigsten november	und nun die wettervorhersage für morgen samstag den einundzwanzigsten november	und nun die wettervorhersage für morgen freitag den zwanzigsten november	und nun die wettervorhersage für morgen donnerstag den siebenundzwanzigsten august	und nun die wettervorhersage für morgen montag den achtundzwanzigsten november	0.9877322	0.98535305	0.9808165	0.9769775	0.9689567
mit föhnunterstützung klettern die temperaturen am alpenrand bis zehn grad	temperaturen nur so um die null grad am kältesten im norden bis minus fünf grad	morgen reichen die temperaturen von neun grad an der ostsee bis siebzehn grad im breisgau	in der nacht sinken die temperaturen auf vierzehn bis sieben grad	morgen reichen die temperaturen von einem grad im vogtland bis neun grad am oberrhein	an der ostseeküste heute nacht minus zwei am alpenrand bis minus fünfzehn grad	0.9100473	0.90441877	0.9022546	0.89814174	0.8958988
die wassermassen die da zusammenkommen können überschwemmungen verursachen	der wind lebt bereits in der nacht auf im norden sturmböen sonst einzelne stürmische böen auf den bergen können orkanböen auftreten	in der nacht werden die wolken im norden und nordosten dichter erste tropfen können an der ostsee fallen	vielerorts gibt es schauer und gewitter die heftig ausfallen können	örtlich schauer oder gewitter die heftig sein können	die kalte luft bleibt uns erhalten wobei die temperaturen bis freitag noch weiter zurückgehen	0.84678656	0.81517655	0.8138696	0.80353636	0.8026936
am tag ist es im südosten meist stark bewölkt vor allem an den alpen muss mit regen gerechnet werden	am freitag ist es in der nähe der küsten und ganz im süden teilweise stark bewölkt	heute nacht gibt es im süden anfangs noch vereinzelte schauer oder gewitter sonst ist es meist klar oder nur locker bewölkt	am montag ist es meist stark bewölkt hier und da regnet es	am tag ist es überwiegend stark bewölkt oder neblig trüb	am tag ist es meist stark bewölkt oder neblig trüb	0.91770166	0.9160284	0.9069266	0.9065512	0.89488876
heute nacht acht bis zwei grad wo es für längere zeit aufklart ist bodenfrost möglich	unter wolken heute nacht frostfreie zwei bis acht grad	wo es heute nacht aufklart ist leichter frost möglich sonst null bis vier grad	heute nacht temperaturen von zehn grad in der eifel bis achtzehn in der lausitz	es bleibt noch mal kalt am samstag knackig bis höchsttemperaturen minus zehn grad	der wind weht schwach bis mäßig am meer auch frisch	0.91302663	0.9090687	0.8916014	0.88469064	0.88366795
wo es heute nacht aufklart ist leichter frost möglich sonst null bis vier grad	unter wolken heute nacht frostfreie zwei bis acht grad	es bleibt noch mal kalt am samstag knackig bis höchsttemperaturen minus zehn grad	heute nacht acht bis zwei grad wo es für längere zeit aufklart ist bodenfrost möglich	der donnerstag wird dann richtig krass da erwarten wir unwetter in deutschland und große temperaturunterschiede sechs bis zwanzig grad	morgen bei dauernebel im süden nur zwei am niederrhein bis elf grad	0.93923604	0.9165998	0.9090687	0.90784353	0.90439856
mittwoch und donnerstag wechselhaft hier und da fällt etwas regen oder schnee der zunehmend auch in den niederungen möglich ist	am sonntag im süden nach nebelauflösung häufig sonnig sonst viele wolken und stellenweise etwas regen	am montag regnet es vor allem im norden und osten weiter und besonders im osten wird es windig etwas sonne am ehesten im süden	am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee	im süden gibt es zu beginn der nacht noch wolken die hier und da auch noch ein paar tropfen fallen lassen sonst ist es meist klar oder nur locker bewölkt	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	0.8950622	0.87596536	0.87512475	0.87423855	0.8723591
zwischen dem tief bei schottland und dem hoch über südeuropa strömt morgen milde luft zu uns nach deutschland	relativ kühle luft strömt zu uns nach deutschland	dreh und angelpunkt ist nämlich dieses tiefdruckgebiet über dem nordatlantik es schickt uns den regen letztendlich erst einmal nach norddeutschland aber dann heute nacht mehr und mehr in die mitte	über deutschland liegt morgen ein hochdruckgebiet das uns verbreitet sonniges und trockenes wetter beschert	morgen breiten sich diese regenwolken dann weiter über die mitte richtung westen aber vor allen dingen auch nach baden württemberg und bayern aus	der donnerstag wird dann richtig krass da erwarten wir unwetter in deutschland und große temperaturunterschiede sechs bis zwanzig grad	0.9440496	0.8886424	0.8829156	0.87579405	0.8744317
mancherorts werden damit die höchsten temperaturen der woche erwartet	in der südhälfte muss dazu mit nachtfrost gerechnet werden	auch am wochenende sorgt es für viel sonnenschein bei weiter steigenden temperaturen	und bis zum abend kann die schneefallgrenze auch bis in die niederungen sinken	das gilt auch für den abend aber im laufe der nacht werden schauer und gewitter in der südosthälfte immer seltener	vielerorts gibt es schauer und gewitter die heftig ausfallen können	0.8701757	0.84575593	0.8437857	0.8420444	0.84097576
danach wird es nur etwas kühler	am wochenende scheint meist die sonne und es wird noch wärmer	aber ab dienstag wird es langsam wieder freundlicher und wärmer	dabei wird es teilweise sehr windig und auch etwas kühler	und zum wochenende wird es dann sogar wieder ein bisschen kälter	dort auch bei leichten plusgraden aber sonst bleibt es frostig	0.91103727	0.91057765	0.8999281	0.89292353	0.8888567
mit stürmischen böen muss heute nacht vor allem im norden am tag im nordwesten gerechnet werden	morgen breiten sich diese regenwolken dann weiter über die mitte richtung westen aber vor allen dingen auch nach baden württemberg und bayern aus	heute nacht wird es aber nochmal ziemlich eisig vor allen dingen in den mittelgebirgen	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	am samstag viel sonnenschein vor allem an alpen und küsten ist es auch mal wolkig	am samstag überall mehr wolken als sonne in der südosthälfte zum teil kräftiger regen richtung nordwesten nur einzelne schauer	0.8843257	0.880421	0.87976706	0.8751672	0.8705893
an der nordsee schwere sturmböen	an der nordsee sowie auf den bergen schwere sturmböen	am abend schwere sturmböen auf den bergen auch orkanartige böen	am donnerstag vor allem in der nordwesthälfte hier und da sturmböen	an der ostsee heute nacht örtlich stürmische böen	besonders im südlichen bergland einzelne wärmegewitter	0.9372437	0.8911479	0.8900194	0.87988335	0.8758875
auf den bergen sind orkanartige böen möglich	im norden sind auch stürmische böen möglich	im süden mäßiger wind nach norden weht er frisch bis stark mit einzelnen sturmböen an der ostsee und auf den bergen sind orkanartige böen möglich	in den niederungen ist es teilweise länger neblig wenige kilometer daneben sonne auf den bergen ist es durchweg sonnig	in der nacht ist im nordosten in ostbayern und im bergland teilweise schnee oder gefrierender regen möglich	in der nacht werden die wolken im norden und nordosten dichter erste tropfen können an der ostsee fallen	0.842993	0.8350215	0.83201295	0.82956326	0.8165582
heute nacht elf grad im norden und ein grad an den alpen	heute nacht werte zwischen vierzehn grad an der see und vier grad an den alpen	heute nacht zwölf grad in der kölner bucht ein grad in brandenburg	vier grad heute nacht im allgäu sowie an der oder dreizehn grad an der nordsee	sechs grad heute nacht am alpenrand bis fünfzehn grad an der oder	am tag zehn grad in der mitte in höheren lagen sechzehn grad im süden	0.9635582	0.9228928	0.92022395	0.91955745	0.91724336
am tag zehn grad in der mitte in höheren lagen sechzehn grad im süden	heute nacht werte zwischen vierzehn grad an der see und vier grad an den alpen	am tag sieben grad an der ostsee und fünfzehn grad am rhein	am tag neunzehn grad an der nordsee und sechsundzwanzig grad in teilen thüringens und sachsens	an der saar heute nacht milde sechzehn an der elbe teilweise nur acht grad	am tag drei grad auf usedom bis zwölf grad im emsland	0.9397887	0.9347766	0.93179965	0.93057835	0.92442524
am donnerstag vor allem in der nordwesthälfte hier und da sturmböen	am abend schwere sturmböen auf den bergen auch orkanartige böen	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	an der nordsee schwere sturmböen	besonders im südlichen bergland einzelne wärmegewitter	nachmittags bilden sich hier in bayern kräftige gewitter	0.9007762	0.89707553	0.8900194	0.8774165	0.8752792
an der nordsee auch gewitter	am sonntag ab und an regenschauer teilweise auch gewitter	besonders im südlichen bergland einzelne wärmegewitter	schwacher im norden auch mäßiger an der küste frischer und zeitweise stark böiger westwind	in der osthälfte morgen mal sonne mal dichtere wolken später auch örtliche schauer oder gewitter	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	0.9280053	0.8940563	0.87166345	0.86960757	0.8686345
im süden und osten freundliche abschnitte	im osten aber erst noch freundliche abschnitte	am dienstag in der südhälfte weitere schauer vereinzelt auch gewitter in der nordhälfte freundliche abschnitte	am dienstag vor allem richtung osten längere freundliche abschnitte daneben aber auch schauer und gewitter	im osten und süden am dienstag einzelne schauer dabei bis in mittlere lagen schnee sonst teils nebel teils wolken oder sonne	im südwesten morgen werte um den gefrierpunkt im osten bis minus sieben grad	0.90381855	0.8855584	0.8559966	0.82554173	0.8248716
in der westhälfte geht der regen in schauer über in den bergen schneeschauer	ja der regen im westen zieht weiter in dieser nacht er wird den osten erreichen wie gesagt anfangs mit schnee auch in den mittelgebirgen	am samstag überall mehr wolken als sonne in der südosthälfte zum teil kräftiger regen richtung nordwesten nur einzelne schauer	im westen und nordwesten fallen einzelne schauer	wenn der verschwunden ist zeigt sich morgen im süden die sonne während sich die wolken weiter richtung donau ausbreiten und dabei immer größere lücken bekommen	in der nordwesthälfte morgen mal sonne mal wolken und immer wieder zum teil kräftige am nachmittag auch gewittrige schauer	0.89169717	0.8895722	0.88937235	0.88845533	0.8874666
heute nacht gibt es im norden dichte wolken besonders nördlich einer linie emsland uckermark schauert es	am tag drei grad auf usedom bis zwölf grad im emsland	an der saar heute nacht milde sechzehn an der elbe teilweise nur acht grad	am tag ist es im westen freundlich sonst sonne und dichtere wolken im wechsel hier und da fallen einzelne schauer	am sonntag im nordwesten eine mischung aus sonne und wolken mit einigen zum teil gewittrigen schauern	an der ostsee heute nacht stürmische böen aus west	0.90031564	0.89534646	0.8920454	0.89110434	0.88874197
im westen und nordwesten weitgehend trocken hier und da wolkenlücken örtlich bildet sich nebel	vor allem im nordwesten sowie in bayern bildet sich nebel	heute nacht sind im süden anfangs noch einzelne gewitter möglich sonst fällt nur hier und da regen stellenweise bildet sich nebel	besonders in flusstälern bildet sich nebel	besonders in der südwesthälfte bildet sich nebel richtung nordosten auch wolkenlücken	die schauer und gewitter im norden klingen in der nacht ab an den alpen fallen noch ein paar regentropfen stellenweise bildet sich nebel	0.92626154	0.91764146	0.89370805	0.89217067	0.8682932
morgen in der südosthälfte weitere zum teil kräftige niederschläge bis in mittlere lagen schnee	morgen schwacher bis mäßiger ostwind	in der osthälfte und im süden gibt es heute nacht kräftige regenfälle und zum teil heftige gewitter	auch morgen in der mitte und im süden gebietsweise stärkere bewölkung	in der südhälfte muss dazu mit nachtfrost gerechnet werden	das heißt weitere schneefälle und leichten bis mäßigen dauerfrost	0.86186737	0.8568567	0.8535991	0.85334504	0.8518725
in der nordwesthälfte teils freundlich teils wolkig und meist trocken	am samstag meist freundlich und überwiegend trocken	im äußersten südosten sowie zwischen nordsee und mosel ist es meist trocken	am freitag teils sonne teils wolken im äußersten süden anfangs noch regnerisch	in der südhälfte ist es teils wolkig teils klar	am samstag überwiegend freundlich meist trocken und wärmer	0.91141176	0.90693474	0.89767814	0.89655906	0.8944294
schwacher bis mäßiger wind aus nord bis west	morgen schwacher bis mäßiger an der see frischer wind aus südwest bis west	dazu weht ein schwacher bis mäßiger wind aus südost bis süd	schwacher im norden auch mäßiger an der küste frischer und zeitweise stark böiger westwind	der wind weht schwach bis mäßig aus süd bis südwest	der wind weht meist schwach aus ost bis nordost	0.89269817	0.8881155	0.8846001	0.87937194	0.86135423
am mittwoch eine mischung aus sonne wolken und nebelfeldern im nordwesten hier und da schauer sonst ist es trocken	am sonntag im norden und an den alpen mal sonne mal wolken und ab und an schauer sonst ist es recht freundlich	heute nacht gibt es hier und da schauer an der nordsee auch kurze gewitter	sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen	in der nordwesthälfte morgen mal sonne mal wolken und immer wieder zum teil kräftige am nachmittag auch gewittrige schauer	sonst viel sonne ein paar lockere wolken im nordwesten fallen am nachmittag einzelne schauer	0.925027	0.91760373	0.9153241	0.9153067	0.9101037
der sternenklare himmel im westen der täuscht denn morgen wird es wieder regnen	heute nacht gibt es hier und da schauer an der nordsee auch kurze gewitter	morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf	sobald sich der nebel am tag lichtet scheint die sonne	unter wolken heute nacht frostfreie zwei bis acht grad	wenn der verschwunden ist zeigt sich morgen im süden die sonne während sich die wolken weiter richtung donau ausbreiten und dabei immer größere lücken bekommen	0.90129596	0.8996504	0.89603275	0.8908493	0.88509685
